epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,465.701,1.60003,2.33871,0.00673,0.73312,0.31398,0.36701,0.23168,1.40777,1.00194,0.0077,0.00997743,0.00332581,0.00997743,0.00332581,0.00997743,0.00332581,0.00997743,0.00332581
2,587.533,1.46905,1.06722,0.00589,0.6025,0.37064,0.40268,0.2368,1.41011,0.95976,0.00778,0.0198456,0.00661519,0.0198456,0.00661519,0.0198456,0.00661519,0.0198456,0.00661519
3,704.722,1.5017,1.05684,0.006,0.53386,0.35065,0.31468,0.16296,1.54165,1.18817,0.00886,0.0295817,0.00986057,0.0295817,0.00986057,0.0295817,0.00986057,0.0295817,0.00986057
4,820.28,1.52941,1.07385,0.00614,0.71626,0.35898,0.35401,0.1989,1.4588,0.96634,0.00815,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,937.601,1.51308,1.00459,0.00601,0.64026,0.38008,0.3793,0.21553,1.48072,0.89226,0.00827,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1056.5,1.475,0.95619,0.00587,0.56226,0.35273,0.36632,0.21258,1.44569,0.93492,0.0081,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1178.5,1.46718,0.93756,0.0058,0.52463,0.40244,0.41159,0.23214,1.4354,0.83072,0.00785,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1294.6,1.45111,0.90952,0.00567,0.54857,0.43052,0.42987,0.24297,1.4042,0.81851,0.00761,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1411.87,1.42479,0.87798,0.00562,0.67834,0.40176,0.43418,0.25128,1.3854,0.79636,0.00756,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1529.12,1.4313,0.86896,0.00564,0.58273,0.45749,0.43858,0.24808,1.39906,0.77758,0.00761,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1647.08,1.41317,0.84793,0.00555,0.55194,0.48697,0.4471,0.26306,1.36407,0.75417,0.00737,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1763.64,1.41717,0.84163,0.00554,0.61066,0.4657,0.46905,0.26331,1.34924,0.73715,0.00725,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1879.44,1.41116,0.83457,0.00555,0.63857,0.46725,0.47125,0.26624,1.38079,0.73928,0.00761,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1994.75,1.40494,0.81228,0.00545,0.70025,0.47435,0.46096,0.26994,1.3516,0.71917,0.00731,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2111.18,1.39387,0.81677,0.00538,0.59537,0.43739,0.45298,0.26539,1.34767,0.74883,0.00731,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2226.68,1.38632,0.7987,0.00539,0.64404,0.51363,0.49459,0.28706,1.33364,0.686,0.0072,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2342.75,1.38668,0.79153,0.00538,0.51128,0.52159,0.49764,0.29577,1.31201,0.69692,0.00702,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2460.76,1.37288,0.7858,0.00531,0.52372,0.56273,0.55747,0.30655,1.32328,0.68964,0.00706,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2579.03,1.38099,0.78645,0.00536,0.66432,0.52735,0.52815,0.30692,1.33,0.65163,0.00717,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2696.98,1.36864,0.77142,0.00532,0.64046,0.48682,0.51009,0.30149,1.31071,0.67378,0.00702,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2815.18,1.36934,0.75999,0.00528,0.6751,0.54819,0.54859,0.31503,1.32039,0.65153,0.00712,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,2932.4,1.36417,0.76071,0.00526,0.65666,0.53247,0.52362,0.31374,1.31471,0.65389,0.00696,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3049.9,1.36274,0.75156,0.00532,0.66519,0.52208,0.51786,0.31077,1.3003,0.65758,0.00693,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3168.39,1.35785,0.76392,0.00524,0.66946,0.53265,0.5189,0.31378,1.29091,0.66647,0.00677,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,3288.06,1.35732,0.75355,0.00524,0.66053,0.55454,0.53097,0.32142,1.29575,0.64417,0.00688,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,3407.79,1.35324,0.74441,0.00519,0.69951,0.51738,0.5263,0.31849,1.29768,0.64676,0.00684,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,3525.89,1.35727,0.73419,0.00526,0.64726,0.49739,0.58219,0.33427,1.29392,0.62721,0.00687,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,3644,1.34555,0.73163,0.00519,0.65717,0.54462,0.53841,0.3197,1.29395,0.62916,0.00685,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,3761.01,1.34337,0.72444,0.00515,0.67172,0.5259,0.53591,0.32055,1.29163,0.62376,0.00685,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
